tender_id,card_id,status,files_count,name_cont,ref_cont,customer_cont,distinctive_tokens,suspect_files,name
"91188656","91188656","ok","4","1","0.812","1","18","derived-2-001-prilozhenie-n3-k-izvescheniyu-trebovaniya-k-soderzhaniyu-i-sostavu-zayavki-to-ais-.docx.txt","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального оператора «АИС ГО"
"0138300000125000597","91131175","ok","2","0.889","0.526","0","27","derived-2-001-trebovaniya_k_soderzhaniyu_sostavu_zayavki_i_instrukciya__1_.docx.txt","ЭА412-25 На Оказание услуг на предоставление неисключительных (пользовательских) прав на использование программных комплексов «Бюджет-NEXT»,"
"0841200000725002360","90985187","ok","8","1","0.739","1","14","derived-2-001-prilozhenie_n5_k_izvescheniyu_rekvizity-.docx.txt","Оказание государственным медицинским организациям, расположенным на территории Костромской области, услуг по сопровождению государственной и"
"0373200234325000106","91001206","ok","4","1","0.704","0.8","8","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по интерпретации данных рентгенологических исследований с применением технологий искусственного интеллекта"
"90931504","90931504","ok","3","1","0.693","0.857","30","","Оказание услуг по обновлению, адаптации и сопровождению программного обеспечения медицинских изделий по описанию и интерпретации рентгенолог"
"0373200234325000102","90923718","ok","4","1","0.796","0.9","11","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по интерпретация данных рентгенографических исследований органов грудной клетки с применением технологий искусственного интел"
"0373200234325000103","90923722","ok","5","1","0.815","0.9","8","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по интерпретации данных рентгенологических исследований с применением технологий искусственного интеллекта"
"0373200234325000104","90923723","ok","5","1","0.812","0.9","8","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по интерпретации данных рентгенологических исследований с применением технологий искусственного интеллекта"
"0373200234325000105","90923727","ok","5","1","0.812","0.9","8","","Оказание услуг по интерпретации данных рентгенологических исследований с применением технологий искусственного интеллекта"
"0361200015025006910","90869247","ok","2","1","0.808","0.167","20","","Оказание услуг по технической поддержке и сопровождению Сервиса поддержки принятия врачебных решений с применением технологий искусственного"
