tender_id,card_id,status,mismatches,name_score,customer_score,info_corr,analysis_score,price_dash,price_api,card_id_match,reg_num_match,has_card,dash_name,api_name,dash_customer,api_customer,tenderguru_link
"0146500000325000012","89644344","ok","","1","1","1","0.078","2811548","2811548","true","true","true","Услуги по адаптации системы электронного документооборота Правительства Липецкой области и исполнительных органов государственной власти Лип","Услуги по адаптации системы электронного документооборота Правительства Липецкой области и исполнительных органов государственной власти Лип","УПРАВЛЕНИЕ ЦИФРОВОГО РАЗВИТИЯ ЛИПЕЦКОЙ ОБЛАСТИ","УПРАВЛЕНИЕ ЦИФРОВОГО РАЗВИТИЯ ЛИПЕЦКОЙ ОБЛАСТИ","https://www.tenderguru.ru/tender/89644344"
"89663096","89663096","ok","","1","1","1","0.035","2982564","2982564","true","","true","СРЕДСТВА ОБЕСПЕЧЕНИЯ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ","СРЕДСТВА ОБЕСПЕЧЕНИЯ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ","Московский фонд реновации жилой застройки","Московский фонд реновации жилой застройки","https://www.tenderguru.ru/tender/89663096"
"32515333024","89683423","ok","","1","1","1","0.077","367239","367239","true","","true","Поставка электронных планшетов для награждения участников XIX Международной научно-практической конференции «Державинские чтения» 2025","Поставка электронных планшетов для награждения участников XIX Международной научно-практической конференции «Державинские чтения» 2025","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВСЕРОССИЙСКИЙ ","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВСЕРОССИЙСКИЙ ","https://www.tenderguru.ru/tender/89683423"
"rq_0160200005725000409","89619426","ok","","1","1","1","0.006","","","true","","true","Запрос цены. Адаптации и сопровождению программного обеспечения медицинских изделий по описанию и интерпретации рентгенологических исследова","Запрос цены. Адаптации и сопровождению программного обеспечения медицинских изделий по описанию и интерпретации рентгенологических исследова","министерство здравоохранения Саратовской области","министерство здравоохранения Саратовской области","https://www.tenderguru.ru/tender/89619426"
"89613777","89613777","ok","","1","1","1","0.019","550000","550000","true","","true","Предоставление неисключительных прав использования программ для ЭВМ для роботизации бизнес-процессов","Предоставление неисключительных прав использования программ для ЭВМ для роботизации бизнес-процессов","Общество с ограниченной ответственностью «Газпром мобильные компрессорные станции»","Общество с ограниченной ответственностью «Газпром мобильные компрессорные станции»","https://www.tenderguru.ru/tender/89613777"
"32515323586","89618183","ok","","1","1","1","0.013","550000","550000","true","","true","Предоставление неисключительных прав использования программ для ЭВМ для роботизации бизнес-процессов","Предоставление неисключительных прав использования программ для ЭВМ для роботизации бизнес-процессов","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МОБИЛЬНЫЕ КОМПРЕССОРНЫЕ СТАНЦИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МОБИЛЬНЫЕ КОМПРЕССОРНЫЕ СТАНЦИИ""","https://www.tenderguru.ru/tender/89618183"
"0373200234325000080","89555493","ok","","1","1","1","0.004","10000000","10000000","true","true","true","Оказание услуг по интерпретации данных маммографических исследований с применением технологий искусственного интеллекта","Оказание услуг по интерпретации данных маммографических исследований с применением технологий искусственного интеллекта","Государственное учреждение здравоохранения города Москвы ""Научно-практический центр медицинской ради","Государственное учреждение здравоохранения города Москвы ""Научно-практический центр медицинской ради","https://www.tenderguru.ru/tender/89555493"
"rq_0318200073525000044","89582607","ok","","1","1","1","0.014","","","true","","true","Запрос цены. Оказание услуг по сопровождению подсистемы ГИС СЗ КК ""Региональный архив медицинских изображений, результатов диагностических и","Запрос цены. Оказание услуг по сопровождению подсистемы ГИС СЗ КК ""Региональный архив медицинских изображений, результатов диагностических и","государственное бюджетное учреждение здравоохранения ""Медицинский информационно-аналитический центр""","государственное бюджетное учреждение здравоохранения ""Медицинский информационно-аналитический центр""","https://www.tenderguru.ru/tender/89582607"
"32515311882","89517892","ok","","1","1","1","0","4500000","4500000","true","","true","Оказание услуг по предоставлению простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки принятия врачебн","Оказание услуг по предоставлению простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки принятия врачебн","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР","https://www.tenderguru.ru/tender/89517892"
"89525519","89525519","ok","","1","1","1","0","","","true","","true","Оказание услуг по предоставлению простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки принятия врачебн","Оказание услуг по предоставлению простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки принятия врачебн","Торговая Система «ТЭК-Торг»","Торговая Система «ТЭК-Торг»","https://www.tenderguru.ru/tender/89525519"
"89530166","89530166","ok","","1","1","1","0.122","","","true","","true","Программно-аппаратный комплекс реализации технологий искусственного интеллекта в различных отраслях ( в составе: ноутбук)","Программно-аппаратный комплекс реализации технологий искусственного интеллекта в различных отраслях ( в составе: ноутбук)","Торговая Система «ТЭК-Торг»","Торговая Система «ТЭК-Торг»","https://www.tenderguru.ru/tender/89530166"
"89535393","89535393","ok","","1","1","1","0.151","","","true","","true","Программно-аппаратный комплекс реализации технологий искусственного интеллекта в различных отраслях (в составе: автоматизированное рабочее м","Программно-аппаратный комплекс реализации технологий искусственного интеллекта в различных отраслях (в составе: автоматизированное рабочее м","Торговая Система «ТЭК-Торг»","Торговая Система «ТЭК-Торг»","https://www.tenderguru.ru/tender/89535393"
"89510461","89510461","ok","","1","1","1","0.035","","","true","","true","Внедрение сервиса для сбора, распознавания документов кандидатов на трудоустройство, кандидатов на заключение договоров на выполнение работ ","Внедрение сервиса для сбора, распознавания документов кандидатов на трудоустройство, кандидатов на заключение договоров на выполнение работ ","Автономная некоммерческая организация «Центр экономического мониторинга, анализа и консалтинга»","Автономная некоммерческая организация «Центр экономического мониторинга, анализа и консалтинга»","https://www.tenderguru.ru/tender/89510461"
"32515313373","89534407","ok","","1","1","1","0.081","1070000","1070000","true","","true","Предоставление права использования программного обеспечения PIX RPA (PIX Robot + PIX Studio, PIX Master) на условиях простой (неисключительн","Предоставление права использования программного обеспечения PIX RPA (PIX Robot + PIX Studio, PIX Master) на условиях простой (неисключительн","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ИНФОРМАЦИОННОЕ ТЕЛЕГРАФНОЕ АГЕНТСТВО РОССИИ (ИТАР","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ИНФОРМАЦИОННОЕ ТЕЛЕГРАФНОЕ АГЕНТСТВО РОССИИ (ИТАР","https://www.tenderguru.ru/tender/89534407"
"89439307","89439307","ok","","1","1","1","0.185","","","true","","true","Разработка программного обеспечения для анализа требований нормативных документов при помощи технологий искусственного интеллекта и языковых","Разработка программного обеспечения для анализа требований нормативных документов при помощи технологий искусственного интеллекта и языковых","Акционерное общество «Русатом Энерджи Проджектс» (ИНН 9705165390)","Акционерное общество «Русатом Энерджи Проджектс» (ИНН 9705165390)","https://www.tenderguru.ru/tender/89439307"
"89444461","89444461","ok","","1","1","1","0.247","","","true","","true","Мониторинг цен в электронной форме на Разработка программного обеспечения для анализа требований нормативных документов при помощи технологи","Мониторинг цен в электронной форме на Разработка программного обеспечения для анализа требований нормативных документов при помощи технологи","Акционерное общество «Росатом Энергетические проекты»","Акционерное общество «Росатом Энергетические проекты»","https://www.tenderguru.ru/tender/89444461"
