tender_num,tender_name,customer,price_rub,fz,is_tz,doc_name,doc_url,doc_size,docs_url
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","ОБОСНОВАНИЕ (РАСЧЕТ) НМЦК","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=99CA85A04AC842D2B68E72D91FB84A31","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Проект контракта","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=7A9CD1B080FA4395A9F8E2EC1FA6639B","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","yes","Техническое задание","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=C64378D31EAF40E89D9DB75811655F22","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Требования к содержанию, составу заявки на участие в закупке","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=5F0D9BE405D54224BBE6B538803D115F","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Другое","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=B68E24F35B884B0B93892A8228D426A3","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Другое","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=3549138298524DC28181749ADA62267E","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Другое","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=10BDFFFC7C474BE296C0DA3DD78B7C4A","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Другое","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=6EB78FAEF5C5426DA201A04C053BF9AD","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Лист согласования","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=19BC1E3EA0C54F529C8A59BE5AAED468","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
"0256100000426000022","Закупка работ по предоставлению права использования (простая (неисключительная) лицензия) на программу для ЭВМ Directum RX (или эквивалент) и по внедрению программного обеспечения для электронного документооборота на базе предоставленной неисключительной лицензии.","ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПЕРМСКОГО КРАЯ","11979287.33","44-ФЗ Открытый конкурс в электронной форме","no","Запрос (запросы) о предоставлении ценовой информации","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=BD38BF9A32A445319EAB34FCF00C0717","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0256100000426000022"
