tender_id,date,name,customer,category,region,price_rub,price_M,end_time,fz,groups,queries,sources,link
"84013458","19-05-2026","Выполнение проектно-изыскательских и строительно-монтажных работ по объекту: «Техническое перевооружение котельной по адресу: СПб, Грузинская ул., д.10, корп. 2, лит. А в части установки и подключения блочно-модульной котельной» (ПИР,СМР)","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""","Системная интеграция, оргтехника","Санкт-Петербург","28977755","29.0","27-05-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84013458"
"84085864","19-05-2026","Выполнение проектно-изыскательских и строительно-монтажных работ по объекту: «Техническое перевооружение котельной по адресу: СПб, Грузинская ул., д.10, корп. 2, лит. А в части установки и подключения блочно-модульной котельной» (ПИР,СМР)","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""","Системная интеграция, оргтехника","Санкт-Петербург","28977755","29.0","27-05-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84085864"
"84231536","25-05-2026","Выполнение работ по ремонту дворовых территорий (лот 2) в Одинцовском городском округе Московской области в 2026 году","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ОДИНЦОВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Московская область","28425095","28.4","16-06-2026","","smeta_normative","""ГЭСН""","documentation","https://www.tenderguru.ru/tender/84231536"
"84099061","21-05-2026","Лот 1. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Центральных ЭС АО «ССК»; Лот 2. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Самарских ЭС АО «ССК»; Лот 3. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Ставропольских ЭС АО «ССК»; Лот 4. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Северных ЭС АО «ССК»; Лот 5. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Западных ЭС АО «ССК»; Лот 6. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Восточных ЭС АО «ССК»","АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКАЯ СЕТЕВАЯ КОМПАНИЯ""","Страхование","Самарская область","27881313","27.9","29-05-2026","","smeta_software","""сметная программа""","documentation","https://www.tenderguru.ru/tender/84099061"
"84099063","21-05-2026","Лот 1. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Центральных ЭС АО «ССК»; Лот 2. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Самарских ЭС АО «ССК»; Лот 3. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Ставропольских ЭС АО «ССК»; Лот 4. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Северных ЭС АО «ССК»; Лот 5. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Западных ЭС АО «ССК»; Лот 6. Выполнение работ по капитальному ремонту ячеек с заменой выключателей нагрузок ВНА Восточных ЭС АО «ССК»","АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКАЯ СЕТЕВАЯ КОМПАНИЯ""","Страхование","Самарская область","27881313","27.9","29-05-2026","","smeta_software","""сметная программа""","documentation","https://www.tenderguru.ru/tender/84099063"
"84233910","22-05-2026","Выполнение работ по капитальному ремонту крыши центрального сельского дома культуры, расположенного по адресу: Ленинградская область, Кингисеппский район, пос. Кингисеппский, д.22","АДМИНИСТРАЦИЯ БОЛЬШЕЛУЦКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КИНГИСЕППСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Ленинградская область","27290500","27.3","11-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84233910"
"84091972","19-05-2026","Выполнение работ по капитальному ремонту крыши центрального сельского дома культуры, расположенного по адресу: Ленинградская область, Кингисеппский район, пос. Кингисеппский, д.22","АДМИНИСТРАЦИЯ БОЛЬШЕЛУЦКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КИНГИСЕППСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Ленинградская область","27290500","27.3","10-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84091972"
"84238322","25-05-2026","На разработку эскизного проекта и выполнение проектно-изыскательских работ, разработку проектной документации на комплексное благоустройство улиц исторического центра г. Читы (4, 5, 6, 7 пусковых комплексов)","КОМИТЕТ ГРАДОСТРОИТЕЛЬНОЙ ПОЛИТИКИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД ЧИТА""","Системная интеграция, оргтехника","Читинская область","27225536","27.2","16-06-2026","","smeta_control","""проверка сметной""","documentation","https://www.tenderguru.ru/tender/84238322"
"84238326","25-05-2026","На разработку эскизного проекта и выполнение проектно-изыскательских работ, разработку проектной документации на комплексное благоустройство улиц исторического центра г. Читы (4, 5, 6, 7 пусковых комплексов)","КОМИТЕТ ГРАДОСТРОИТЕЛЬНОЙ ПОЛИТИКИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД ЧИТА""","Системная интеграция, оргтехника","Читинская область","27225536","27.2","16-06-2026","","smeta_control; psd","""экспертиза сметной стоимости""; ""проектно-сметная документация""","documentation","https://www.tenderguru.ru/tender/84238326"
"84238330","25-05-2026","На разработку эскизного проекта и выполнение проектно-изыскательских работ, разработку проектной документации на комплексное благоустройство улиц исторического центра г. Читы (4, 5, 6, 7 пусковых комплексов)","КОМИТЕТ ГРАДОСТРОИТЕЛЬНОЙ ПОЛИТИКИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД ЧИТА""","Системная интеграция, оргтехника","Читинская область","27225536","27.2","16-06-2026","","smeta_control; psd","""экспертиза сметной стоимости""; ""проектно-сметная документация""","documentation","https://www.tenderguru.ru/tender/84238330"
"32615990261","08-05-2026","Выполнение изыскательских работ, разработка проектной документации, рабочей документации и на их основе составление сметы на строительство тепловой сети для подключения к системам теплоснабжения ПАО «МОЭК» объекта капитального строительства Жилой дом с подземной автостоянкой по адресу г. Москва, ЗАО, район Фили-Давыдково, кв. 1-2, корп. 18, 18А (ЖК «Квартал Триумфальный»), расположенного по адресу: г. Москва, кварталы 1 и 2 Давыдково р-на Фили-Давыдково с кадастровым номером: 77:07:0009004:9345 (26VP1342/МИ)","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""","Строительство","Москва","25940013","25.9","18-05-2026","223","smeta_service","""составление смет""","search","https://www.tenderguru.ru/tender/94190432"
