tender_id,lookup_id,lookup_tend_num,date,niche,classification,relevance_score,matched_terms,matched_queries,query_groups,sources,tender_name,customer,category,region,price,end_time,tender_link,tenderguru_link,doc_links_from_documentation_search
"87234481","87234481","","01-07-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Оказание услуг по предоставлению сертификатов на техническую поддержку ПО Primo RPA","Торговая Система «ТЭК-Торг»","Системная интеграция, оргтехника","Красноярский край","","04-07-2025","https://www.tektorg.ru/market/procedures/14549778","https://www.tenderguru.ru/tender/87234481",""
"87209927","87209927","","27-06-2025","software_related","software_related","10","технологии искусственного интеллекта","""технологии искусственного интеллекта""","ai_general","search","УСЛУГИ ПО ОБРАБОТКЕ ПРОЧИХ ДАННЫХ ИНФОРМАЦИОННЫХ СИСТЕМ, РЕСУРСОВ И ПРОГРАММНО-ТЕХНИЧЕСКИХ КОМПЛЕКСОВ","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""НАУЧНО-ПРАКТИЧЕСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР ДИАГНОСТИКИ И ТЕЛЕМЕДИЦИНСКИХ ТЕХНОЛОГИЙ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","Системная интеграция, оргтехника","Московская область","41","30-06-2025","https://market.mosreg.ru/Trade/ViewTrade?id=3367707","https://www.tenderguru.ru/tender/87209927",""
"87018927","87018927","","20-06-2025","ai_general","ai_core","9","нейронная сеть","""нейронная сеть""","ml","search","Предоставление доступа к нейронным сетям (приобретение токенов)","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РОСТЕЛЕКОМ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ","Системная интеграция, оргтехника","Москва","","","https://etpgpb.ru/procedure/tender/price_request/790546/","https://www.tenderguru.ru/tender/87018927",""
"32514945287","86917994","32514945287","16-06-2025","analytics","ai_core","7","интеллектуальный анализ данных","""интеллектуальный анализ данных""","analytics","search","Оказание услуг по техническому облуживанию программы для ЭВМ «Программа для автоматизации инженерных расчетов, интеллектуального анализа данных и оптимизации pSeven 6.14»","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ПРОБЛЕМ БЕЗОПАСНОГО РАЗВИТИЯ АТОМНОЙ ЭНЕРГЕТИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК","Системная интеграция, оргтехника","Москва","1094760","16-06-2025","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514945287","https://www.tenderguru.ru/tender/86917994",""
"0337100017725000076","86876975","0337100017725000076","11-06-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Передача неисключительных прав на использование комплекта программного обеспечения Puzzle RPA с компонентой GPT","Федеральное казенное учреждение ""Налог-Сервис"" Федеральной налоговой службы (г. Москва)","Системная интеграция, оргтехника","Москва","99925000","19-06-2025","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0337100017725000076","https://www.tenderguru.ru/tender/86876975",""
"86825761","86825761","","10-06-2025","computer_vision","ai_core","8","распознавание изображений","""распознавание изображений""","computer_vision","search","Программное обеспечение для распознавания изображения лекал одежды","Торговая Система «ТЭК-Торг»","Системная интеграция, оргтехника","","","17-06-2025","https://www.tektorg.ru/ncm/procedures/14062602","https://www.tenderguru.ru/tender/86825761",""
"rq_0173100008625000068","86830378","rq_0173100008625000068","10-06-2025","process_automation","automation_software","7","rpa","RPA","process_automation","search","Запрос цены. Оказание услуг по технической поддержке и сопровождению платформы программных средств класса RPA","Министерство экономического развития Российской Федерации","Системная интеграция, оргтехника","Москва","","","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0173100008625000068","https://www.tenderguru.ru/tender/86830378",""
"32514921974","86756403","32514921974","06-06-2025","ai_general","ai_core","9","нейронная сеть","""нейронная сеть""","ml","search","Приобретение лицензии для доступа в геоинформационную систему на базе нейронных сетей и искусственного интеллекта для управления и контроля состояния улично-дорожной сети","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР КООРДИНАЦИИ ПРОЕКТОВ ЦИФРОВОЙ ЭКОНОМИКИ""","Системная интеграция, оргтехника","Нижегородская область","19872000","16-06-2025","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514921974","https://www.tenderguru.ru/tender/86756403",""
"rq_0173200023325000071","86766602","rq_0173200023325000071","06-06-2025","ai_general","ai_core","9","нейронная сеть","""нейронная сеть""","ml","search","Запрос цены. Поставка сертификата на техническую поддержку информационно-технологического оборудования","Департамент информационных технологий города Москвы","Системная интеграция, оргтехника","Москва","","","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=rq_0173200023325000071","https://www.tenderguru.ru/tender/86766602",""
"86762131","86762131","","06-06-2025","computer_vision","ai_core","8","распознавание изображений","""распознавание изображений""","computer_vision","search","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения регистрационных знаков транспортных средств","","Системная интеграция, оргтехника","Санкт-Петербург","","","https://www.roseltorg.ru/procedure/RT05062500021","https://www.tenderguru.ru/tender/86762131",""
